term_lower	term	confidence	domains	defined_in
(i.e. all s are p and some s are p)	(i.e. All S are P and Some S are P)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(i.e. either $a$,$i$,$e$,$o$)	(i.e. either $A$,$I$,$E$,$O$)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(i.e. if $n \not\equiv 0 \operatorname{mod	(i.e. if $n \not\equiv 0 \operatorname{mod	medium	03_Mathematical_logic_and_foundations	HofstadtersMIUSystem
(i.e. no s are p and some s are p, also all s are p and some s are not p)	(i.e. No S are P and Some S are P, also All S are P and Some S are not P)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(i.e. some s are p and some s are not p)	(i.e. Some S are P and Some S are not P)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(i.e. the bound and the positions of the limit cycles)	(i.e. the bound and the positions of the limit cycles)	medium	01_History_and_biography;34_Ordinary_differential_equations	Hilberts16thProblemForQuadraticVectorFields;HilbertsSixteenthProblem
(ii)	(ii)	medium	30_Functions_of_a_complex_variable	ProofOfMartysTheorem
(integral division)	(integral division)	medium	11_Number_theory	BaseConversion
(lecture hall)	(lecture hall)	medium	01_History_and_biography	Aristotle
(left) action	(left) action	medium	54_General_topology	TopologicalTransformationGroup
(left) haar
system on $\grp$	(left) Haar
system on $\grp$	medium	55_Algebraic_topology;81_Quantum_theory	GroupoidAndGroupRepresentationsRelatedToQuantumSymmetries;QuantumOperatorAlgebrasInQuantumFieldTheories
(lie) algebraic methods in quantum chemistry and physics.	(Lie) Algebraic Methods in Quantum Chemistry and Physics.	medium	08_General_algebraic_systems;18_Category_theory_homological_algebra;55_Algebraic_topology;81_Quantum_theory	CompactQuantumGroupoidsRelatedToCalgebras;GrassmannHopfAlgebrasAndCoalgebrasgebras;GroupoidAndGroupRepresentationsRelatedToQuantumSymmetries
(linear) sequence of morphisms	(linear) sequence of morphisms	high	18_Category_theory_homological_algebra	CategoricalSequence
(linearity)	(Linearity)	medium	28_Measure_and_integration;60_Probability_theory_and_stochastic_processes	HaarIntegral;PropertiesOfExpectedValue
(m,r)	(M,R)	medium	08_General_algebraic_systems;18_Category_theory_homological_algebra;20_Group_theory_and_generalizations;37_Dynamical_systems_and_ergodic_theory;40_Sequences_series_summability	BibliographyForAxiomaticsAndMathematicsFoundationsInCategories;BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
(m-1) arrows	(m-1) arrows	high	55_Algebraic_topology	2groupoid
(mere) propositions	(mere) propositions	medium	03_Mathematical_logic_and_foundations	Constructivity
(modal logic)	(modal logic)	medium	01_History_and_biography	Aristotle
(monotonicity)	(monotonicity)	medium	60_Probability_theory_and_stochastic_processes	PropertiesOfExpectedValue
(n-1)-supercategory	(n-1)-supercategory	high	18_Category_theory_homological_algebra	Ncategory
(non-abelian)	(non-Abelian)	medium	20_Group_theory_and_generalizations	GroupsOfSmallOrder
(none of his work has survived)	(none of his work has survived)	medium	01_History_and_biography	Aristotle
(normalization)	(normalization)	medium	60_Probability_theory_and_stochastic_processes	PropertiesOfExpectedValue
(one might actually
describe it as a lack of a
relationship)	(one might actually
describe it as a lack of a
relationship)	medium	01_History_and_biography	HenriPoincare
(open) ray generated by	(open) ray generated by	medium	51_Geometry	Ray
(or \emph{$\alpha$-limit cycle	(or \emph{$\alpha$-limit cycle	medium	34_Ordinary_differential_equations	LimitCycle
(or \emph{$\omega$-limit cycle	(or \emph{$\omega$-limit cycle	medium	34_Ordinary_differential_equations	LimitCycle
(or \emph{periodic solution	(or \emph{periodic solution	medium	34_Ordinary_differential_equations	Cycle12
(or `p')	(or `p')	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(or per accidens)	(or per accidens)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(orthonormal dyadic) wavelet set	(orthonormal dyadic) wavelet set	medium	46_Functional_analysis	WaveletSet
(partial) linear space	(partial) linear space	high	51_Geometry	partialLinearSpace
(partial) tilting module	(partial) tilting module	high	16_Associative_rings_and_algebras	partialTiltingModule
(pateo is the greek work for walk)	(pateo is the Greek work for walk)	medium	01_History_and_biography	Aristotle
(path) connectness as a homotopy invariant	(path) connectness as a homotopy invariant	high	55_Algebraic_topology	pathConnectnessAsAHomotopyInvariant
(picture from \cite{wa	(picture from \cite{WA	medium	01_History_and_biography	Aristotle
(positivity)	(Positivity)	medium	28_Measure_and_integration	HaarIntegral
(quantum logic)	(quantum logic)	medium	18_Category_theory_homological_algebra	QuantumTopos
(quantum nano-computer)	(quantum nano-computer)	medium	81_Quantum_theory	QuantumNanoautomata
(quantum) superfields	(Quantum) superfields	medium	55_Algebraic_topology	Supersymmetry
(referring to the charges of impiety brought against anaxagoras and socrates)	(referring to the charges of impiety brought against Anaxagoras and Socrates)	medium	01_History_and_biography	Aristotle
(remainder of $n/b$)	(remainder of $n/b$)	medium	11_Number_theory	BaseConversion
(restriction)	(restriction)	medium	08_General_algebraic_systems	CongruenceRelationOnAnAlgebraicSystem
(right) basic	(right) basic	medium	13_Commutative_rings_and_algebras	BasicAlgebra
(right) hilbert module	(right) Hilbert module	medium	46_Functional_analysis	HilbertModule
(right) pre-hilbert module	(right) pre-Hilbert module	medium	46_Functional_analysis	HilbertModule
(right) weak global dimension	(right) weak global dimension	medium	16_Associative_rings_and_algebras	WeakGlobalDimension
(schanuel's lemma)	(Schanuel's Lemma)	medium	16_Associative_rings_and_algebras	ProjectiveEquivalence
(schur's test)	(Schur's Test)	medium	46_Functional_analysis	SchursTest
(second edition)	(Second Edition)	medium	34_Ordinary_differential_equations	DynamicalSystem
(second fundamental theorem of projective geometry)	(Second Fundamental Theorem of Projective Geometry)	medium	51_Geometry	Perspectivity
(see all solution of the lorenz equation enter an ellipsoid)	(see all solution of the Lorenz equation enter an ellipsoid)	medium	34_Ordinary_differential_equations	LorenzEquation
(see graph of the nullcline below.)	(See graph of the nullcline below.)	medium	34_Ordinary_differential_equations	SomeQualitativeAnalysisOfFitzHughNagumoEquationUsingNullclines
(see hilbert-weyl theorem)	(see Hilbert-Weyl theorem)	medium	13_Commutative_rings_and_algebras	Schwarz1975Theorem
(see natural symmetry of the lorenz equation)	(see natural symmetry of the Lorenz equation)	medium	34_Ordinary_differential_equations	LorenzEquation
(shown below)	(shown below)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(special) unitary lie algebra	(special) unitary Lie algebra	high	17_Nonassociative_rings_and_algebras	specialUnitaryLieAlgebra
(standard) borel g-space	(standard) Borel G-space	medium	22_Topological_groups_Lie_groups	BorelGspace
(super)	(super)	medium	55_Algebraic_topology	Supersymmetry
(the $\lambda_i$ are eigenvalues of $a$)	(the $\lambda_i$ are eigenvalues of $A$)	medium	15_Linear_and_multilinear_algebra_matrix_theory	SchurDecomposition
(the $x$ solution with respect to time.)	(The $x$ solution with respect to time.)	medium	34_Ordinary_differential_equations	LorenzEquation
(the $y$ solution with respect to time.)	(The $y$ solution with respect to time.)	medium	34_Ordinary_differential_equations	LorenzEquation
(the $z$ solution with respect to time.)	(The $z$ solution with respect to time.)	medium	34_Ordinary_differential_equations	LorenzEquation
(the diagonal matrix)	(the diagonal matrix)	medium	15_Linear_and_multilinear_algebra_matrix_theory	CorollaryOfSchurDecomposition
(the divergence of the vector field $\textbf{f	(the divergence of the vector field $\textbf{f	medium	34_Ordinary_differential_equations	BendixsonsNegativeCriterion
(the divergence of the vector field $p(x,y)\textbf{f	(the divergence of the vector field $p(x,y)\textbf{f	medium	34_Ordinary_differential_equations	DulacsCriteria
(the identity function)	(the identity function)	medium	34_Ordinary_differential_equations	DynamicalSystem
(the information of this entry is in part quoted and paraphrased from \cite{1	(the information of this entry is in part quoted and paraphrased from \cite{1	medium	28_Measure_and_integration	HaarIntegral
(the proof for existence and uniqueness of the haar integral is presented in \cite{2	(The proof for existence and uniqueness of the Haar integral is presented in \cite{2	medium	28_Measure_and_integration	HaarIntegral
(the ring of $\gamma$-invariant germs)	(the ring of $\Gamma$-invariant germs)	medium	37_Dynamical_systems_and_ergodic_theory	Poenaru1976Theorem
(the ring of $\gamma$-invariant polynomial)	(the ring of $\Gamma$-invariant polynomial)	medium	37_Dynamical_systems_and_ergodic_theory	Poenaru1976Theorem
(the ring of $c^{\infty	(the ring of $C^{\infty	medium	13_Commutative_rings_and_algebras	Schwarz1975Theorem
(the set $g$-invariant polynomials on $\mathbb{r	(the set $G$-invariant polynomials on $\mathbb{R	medium	13_Commutative_rings_and_algebras	Schwarz1975Theorem
(the set of invariant polynomials)	(the set of invariant polynomials)	medium	22_Topological_groups_Lie_groups	HilbertWeylTheorem
(the space of $\gamma$-equivariant germs at the origin of $c^\infty$ mappings)	(the space of $\Gamma$-equivariant germs at the origin of $C^\infty$ mappings)	medium	37_Dynamical_systems_and_ergodic_theory	Poenaru1976Theorem
(the space of $\gamma$-equivariant polynomial mappings)	(the space of $\Gamma$-equivariant polynomial mappings)	medium	37_Dynamical_systems_and_ergodic_theory	Poenaru1976Theorem
(the term which appears in both the major and minor premise)	(the term which appears in both the major and minor premise)	medium	03_Mathematical_logic_and_foundations	AristotelianLogic
(there are also other ways)	(there are also other ways)	medium	28_Measure_and_integration	HaarIntegral
(they were known as the stoic)	(they were known as the Stoic)	medium	01_History_and_biography	Aristotle
(third edition)	(Third Edition)	medium	15_Linear_and_multilinear_algebra_matrix_theory;34_Ordinary_differential_equations	CorollaryOfSchurDecomposition;Cycle12;DynamicalSystem
(tl)	(TL)	medium	54_General_topology	EquivalentFormulationOfTheTubeLemma
(translated by r.a. silverman)	(translated by R.A. Silverman)	medium	34_Ordinary_differential_equations	RectificationTheorem
(translation-invariance)	(Translation-Invariance)	medium	28_Measure_and_integration	HaarIntegral
(variable) categories	(variable) categories	medium	18_Category_theory_homological_algebra	OrganismicSupercategoriesAndSupercomplexSystemsBiodynamics
(volume ii)	(Volume II)	medium	13_Commutative_rings_and_algebras;22_Topological_groups_Lie_groups;28_Measure_and_integration;34_Ordinary_differential_equations;37_Dynamical_systems_and_ergodic_theory	BifurcationProblemWithSymmetryGroup;FixedpointSubspace;Gammaequivariant
(where $\vec{\mathcal{e	(where $\vec{\mathcal{E	medium	37_Dynamical_systems_and_ergodic_theory	BifurcationProblemWithSymmetryGroup
(young)	(Young)	medium	46_Functional_analysis	SchursTest
* bulletin (new series) of the american mathematical society	* Bulletin (New Series) of the American Mathematical Society	medium	00_General;18_Category_theory_homological_algebra	FusionOfTheoreticalPhysicsWithMathematicsAtIHESOrg;IHESOnTheFusionOfMathematicsAndTheoreticalPhysics
*--algebra	*--algebra	medium	08_General_algebraic_systems;55_Algebraic_topology;81_Quantum_theory	GroupoidAndGroupRepresentationsRelatedToQuantumSymmetries;JordanBanachAndJordanLieAlgebras;QuantumOperatorAlgebrasInQuantumFieldTheories
*-algebra	*-algebra	high	22_Topological_groups_Lie_groups;81_Quantum_theory	CompactQuantumGroupoidsRelatedToCalgebras;Topologicalalgebra
*-convolution	*-convolution	high	18_Category_theory_homological_algebra	CategoryOfCalgebras
*-homomorphism	*-homomorphism	high	16_Associative_rings_and_algebras;18_Category_theory_homological_algebra	CategoryOfCalgebras;InvolutoryRing
*-semigroup	*-semigroup	high	20_Group_theory_and_generalizations	SemigroupWithInvolution
*-subalgebra	*-subalgebra	medium	08_General_algebraic_systems	WeakHopfAlgebra;WeakHopfCalgebra
-adic	-adic	medium	08_General_algebraic_systems	GroundedRelation
-arity	-arity	high	00_General	Arity
-ary	-ary	medium	08_General_algebraic_systems	GroundedRelation
-ca	-CA	high	03_Mathematical_logic_and_foundations	ComprehensionAxiom
-conjugates	-conjugates	medium	15_Linear_and_multilinear_algebra_matrix_theory	CharacteristicPolynomialOfAlgebraicNumber
-fixed point subset	-fixed point subset	medium	16_Associative_rings_and_algebras	TheCharacteristicEmbeddingOfTheBurnsideRing
-ind	-IND	high	03_Mathematical_logic_and_foundations	InductionAxiom
-isomorphism	-isomorphism	medium	18_Category_theory_homological_algebra	FisomorphismsInCategories
-map	-map	medium	16_Associative_rings_and_algebras	BurnsideRing
-metrein	-metrein	medium	40_Sequences_series_summability	NotesOnGreenbergsEuclideanAndNonEuclideanGeometries
-net
for $s$	-net
for $S$	medium	54_General_topology	varepsilonnet
-place relation	-place relation	medium	68_Computer_science	RelationTheory
-set	-set	medium	16_Associative_rings_and_algebras	BurnsideRing
-subset of	-subset of	medium	03_Mathematical_logic_and_foundations	FuzzySubset
-tuple	-tuple	high	03_Mathematical_logic_and_foundations	OrderedTuplet
-tuplet	-tuplet	high	03_Mathematical_logic_and_foundations	OrderedTuplet
-tuplets	-tuplets	high	03_Mathematical_logic_and_foundations	OrderedTuplet
...more to come	...more to come	medium	08_General_algebraic_systems;57_Manifolds_and_cell_complexes	OverviewArticleForAlgebraicTopology;TopicEntryOnTheAlgebraicFoundationsOfMathematics
0-cell	0-cell	high	18_Category_theory_homological_algebra	2category
0-dimensional sphere	0-dimensional sphere	medium	03_Mathematical_logic_and_foundations	65Suspensions
0-meridian	0-meridian	high	57_Manifolds_and_cell_complexes	SurfaceOfRevolution
0-trun\-ca\-tion	0-trun\-ca\-tion	medium	03_Mathematical_logic_and_foundations	69Truncations
0.000	0.000	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.004	0.004	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.010	0.010	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.103	0.103	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.207	0.207	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.412	0.412	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.5000	0.5000	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.5120	0.5120	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.5239	0.5239	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.5359	0.5359	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.5398	0.5398	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.5517	0.5517	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.5636	0.5636	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.5753	0.5753	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6179	0.6179	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6293	0.6293	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6406	0.6406	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6517	0.6517	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6554	0.6554	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6664	0.6664	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6772	0.6772	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.6879	0.6879	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.711	0.711	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.7257	0.7257	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.7357	0.7357	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.7454	0.7454	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.7549	0.7549	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.7580	0.7580	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.7673	0.7673	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.7764	0.7764	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.7852	0.7852	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8159	0.8159	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8238	0.8238	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8315	0.8315	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8389	0.8389	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8413	0.8413	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8485	0.8485	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8554	0.8554	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8621	0.8621	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8849	0.8849	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8907	0.8907	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.8962	0.8962	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9015	0.9015	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9032	0.9032	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9082	0.9082	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9131	0.9131	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9177	0.9177	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9332	0.9332	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9370	0.9370	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9406	0.9406	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9441	0.9441	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9452	0.9452	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9484	0.9484	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9515	0.9515	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9545	0.9545	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9641	0.9641	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9664	0.9664	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9686	0.9686	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9706	0.9706	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9713	0.9713	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9732	0.9732	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9750	0.9750	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9767	0.9767	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9821	0.9821	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9834	0.9834	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9846	0.9846	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9857	0.9857	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9861	0.9861	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9871	0.9871	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9881	0.9881	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.989	0.989	medium	62_Statistics	TableOfCriticalValuesOfChisquaredDistributions
0.9890	0.9890	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9918	0.9918	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9925	0.9925	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9931	0.9931	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9936	0.9936	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9938	0.9938	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9943	0.9943	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
0.9948	0.9948	medium	62_Statistics	TableOfProbabilitiesOfStandardNormalDistribution
